1A,Sov Mil Order of Malta
RJ8G,European Russia
RJ8H,Asiatic Russia
RJ8I,Asiatic Russia
RJ8O,Asiatic Russia
RJ8P,Asiatic Russia
RJ8S,Asiatic Russia
RJ8T,Asiatic Russia
RJ8U,Asiatic Russia
RJ8V,Asiatic Russia
RJ8W,Asiatic Russia
RJ8X,European Russia
RJ8Y,Asiatic Russia
RJ8Z,Asiatic Russia
RJ9F,European Russia
RJ9G,European Russia
RJ9I,Asiatic Russia
RJ9M,Asiatic Russia
RJ9P,Asiatic Russia
RJ9S,Asiatic Russia
RJ9T,Asiatic Russia
RJ9V,Asiatic Russia
RJ9W,Asiatic Russia
RJ9X,European Russia
RK0T,Asiatic Russia
RK1N,European Russia
RK1O,European Russia
RK1P,European Russia
RK1Z,European Russia
RK2F,Kaliningrad
RK2K,Kaliningrad
RK4H,European Russia
RK4I,European Russia
RK4W,European Russia
RK8F,European Russia
RK8G,European Russia
RK8H,Asiatic Russia
RK8I,Asiatic Russia
RK8O,Asiatic Russia
RK8P,Asiatic Russia
RK8S,Asiatic Russia
RK8T,Asiatic Russia
RK8U,Asiatic Russia
RK8V,Asiatic Russia
RK8W,Asiatic Russia
RK8X,European Russia
RK8Y,Asiatic Russia
RK8Z,Asiatic Russia
RK9F,European Russia
RK9G,European Russia
RK9I,Asiatic Russia
RK9M,Asiatic Russia
RK9P,Asiatic Russia
RK9S,Asiatic Russia
RK9T,Asiatic Russia
RK9V,Asiatic Russia
RK9W,Asiatic Russia
RK9X,European Russia
RL0T,Asiatic Russia
RL1N,European Russia
RL1O,European Russia
RL1P,European Russia
RL1Z,European Russia
RL2F,Kaliningrad
RL2K,Kaliningrad
RL4H,European Russia
RL4I,European Russia
RL4W,European Russia
RL8F,European Russia
RL8G,European Russia
RL8H,Asiatic Russia
RL8I,Asiatic Russia
RL8O,Asiatic Russia
RL8P,Asiatic Russia
RL8S,Asiatic Russia
RL8T,Asiatic Russia
RL8U,Asiatic Russia
RL8V,Asiatic Russia
RL8W,Asiatic Russia
RL8X,European Russia
RL8Y,Asiatic Russia
RL8Z,Asiatic Russia
RL9F,European Russia
RL9G,European Russia
RL9I,Asiatic Russia
RL9M,Asiatic Russia
RL9P,Asiatic Russia
RL9S,Asiatic Russia
RL9T,Asiatic Russia
RL9V,Asiatic Russia
RL9W,Asiatic Russia
RL9X,European Russia
RM0T,Asiatic Russia
RM1N,European Russia
RM1O,European Russia
RM1P,European Russia
RM1Z,European Russia
RM2F,Kaliningrad
RM2K,Kaliningrad
RM4H,European Russia
RM4I,European Russia
RM4W,European Russia
RM8F,European Russia
RM8G,European Russia
RM8H,Asiatic Russia
RM8I,Asiatic Russia
RM8O,Asiatic Russia
RM8P,Asiatic Russia
RM8S,Asiatic Russia
RM8T,Asiatic Russia
RM8U,Asiatic Russia
RM8V,Asiatic Russia
RM8W,Asiatic Russia
RM8X,European Russia
RM8Y,Asiatic Russia
RM8Z,Asiatic Russia
RM9F,European Russia
RM9G,European Russia
RM9I,Asiatic Russia
RM9M,Asiatic Russia
RM9P,Asiatic Russia
RM9S,Asiatic Russia
RM9T,Asiatic Russia
RM9V,Asiatic Russia
RM9W,Asiatic Russia
RM9X,European Russia
RN0T,Asiatic Russia
RN1N,European Russia
RN1O,European Russia
RN1P,European Russia
RN1Z,European Russia
RN2F,Kaliningrad
RN2K,Kaliningrad
RN4H,European Russia
RN4I,European Russia
RN4W,European Russia
RN8F,European Russia
RN8G,European Russia
RN8H,Asiatic Russia
RN8I,Asiatic Russia
RN8O,Asiatic Russia
RN8P,Asiatic Russia
RN8S,Asiatic Russia
RN8T,Asiatic Russia
RN8U,Asiatic Russia
RN8V,Asiatic Russia
RN8W,Asiatic Russia
RN8X,European Russia
RN8Y,Asiatic Russia
RN8Z,Asiatic Russia
RN9F,European Russia
RN9G,European Russia
RN9I,Asiatic Russia
RN9M,Asiatic Russia
RN9P,Asiatic Russia
RN9S,Asiatic Russia
RN9T,Asiatic Russia
RN9V,Asiatic Russia
RN9W,Asiatic Russia
RN9X,European Russia
RO0T,Asiatic Russia
RO1N,European Russia
RO1O,European Russia
RO1P,European Russia
RO1Z,European Russia
RO2F,Kaliningrad
RO2K,Kaliningrad
RO4H,European Russia
RO4I,European Russia
RO4W,European Russia
RO8F,European Russia
RO8G,European Russia
RO8H,Asiatic Russia
RO8I,Asiatic Russia
RO8O,Asiatic Russia
RO8P,Asiatic Russia
RO8S,Asiatic Russia
RO8T,Asiatic Russia
RO8U,Asiatic Russia
RO8V,Asiatic Russia
RO8W,Asiatic Russia
RO8X,European Russia
RO8Y,Asiatic Russia
RO8Z,Asiatic Russia
RO9F,European Russia
RO9G,European Russia
RO9I,Asiatic Russia
RO9M,Asiatic Russia
RO9P,Asiatic Russia
RO9S,Asiatic Russia
RO9T,Asiatic Russia
RO9V,Asiatic Russia
RO9W,Asiatic Russia
RO9X,European Russia
RQ0T,Asiatic Russia
RQ1N,European Russia
RQ1O,European Russia
RQ1P,European Russia
RQ1Z,European Russia
RQ2F,Kaliningrad
RQ2K,Kaliningrad
RQ4H,European Russia
RQ4I,European Russia
RQ4W,European Russia
RQ8F,European Russia
RQ8G,European Russia
RQ8H,Asiatic Russia
RQ8I,Asiatic Russia
RQ8O,Asiatic Russia
RQ8P,Asiatic Russia
RQ8S,Asiatic Russia
RQ8T,Asiatic Russia
RQ8U,Asiatic Russia
RQ8V,Asiatic Russia
RQ8W,Asiatic Russia
RQ8X,European Russia
RQ8Y,Asiatic Russia
RQ8Z,Asiatic Russia
RQ9F,European Russia
RQ9G,European Russia
RQ9I,Asiatic Russia
RQ9M,Asiatic Russia
RQ9P,Asiatic Russia
RQ9S,Asiatic Russia
RQ9T,Asiatic Russia
RQ9V,Asiatic Russia
RQ9W,Asiatic Russia
RQ9X,European Russia
RT0T,Asiatic Russia
RT1N,European Russia
RT1O,European Russia
RT1P,European Russia
RT1Z,European Russia
RT2F,Kaliningrad
RT2K,Kaliningrad
RT4H,European Russia
RT4I,European Russia
RT4W,European Russia
RT8F,European Russia
RT8G,European Russia
RT8H,Asiatic Russia
RT8I,Asiatic Russia
RT8O,Asiatic Russia
RT8P,Asiatic Russia
RT8S,Asiatic Russia
RT8T,Asiatic Russia
RT8U,Asiatic Russia
RT8V,Asiatic Russia
RT8W,Asiatic Russia
RT8X,European Russia
RT8Y,Asiatic Russia
RT8Z,Asiatic Russia
RT9F,European Russia
RT9G,European Russia
RT9I,Asiatic Russia
RT9M,Asiatic Russia
RT9P,Asiatic Russia
RT9S,Asiatic Russia
RT9T,Asiatic Russia
RT9V,Asiatic Russia
RT9W,Asiatic Russia
RT9X,European Russia
RU0T,Asiatic Russia
RU1N,European Russia
RU1O,European Russia
RU1P,European Russia
RU1Z,European Russia
RU2F,Kaliningrad
RU2K,Kaliningrad
RU4H,European Russia
RU4I,European Russia
RU4W,European Russia
RU8F,European Russia
RU8G,European Russia
RU8H,Asiatic Russia
RU8I,Asiatic Russia
RU8O,Asiatic Russia
RU8P,Asiatic Russia
RU8S,Asiatic Russia
RU8T,Asiatic Russia
RU8U,Asiatic Russia
RU8V,Asiatic Russia
RU8W,Asiatic Russia
RU8X,European Russia
RU8Y,Asiatic Russia
RU8Z,Asiatic Russia
RU9F,European Russia
RU9G,European Russia
RU9I,Asiatic Russia
RU9M,Asiatic Russia
RU9P,Asiatic Russia
RU9S,Asiatic Russia
RU9T,Asiatic Russia
RU9V,Asiatic Russia
RU9W,Asiatic Russia
RU9X,European Russia
RV0T,Asiatic Russia
RV1N,European Russia
RV1O,European Russia
RV1P,European Russia
RV1Z,European Russia
RV2F,Kaliningrad
RV2K,Kaliningrad
RV4H,European Russia
RV4I,European Russia
RV4W,European Russia
RV8F,European Russia
RV8G,European Russia
RV8H,Asiatic Russia
RV8I,Asiatic Russia
RV8O,Asiatic Russia
RV8P,Asiatic Russia
RV8S,Asiatic Russia
RV8T,Asiatic Russia
RV8U,Asiatic Russia
RV8V,Asiatic Russia
RV8W,Asiatic Russia
RV8X,European Russia
RV8Y,Asiatic Russia
RV8Z,Asiatic Russia
RV9F,European Russia
RV9G,European Russia
RV9I,Asiatic Russia
RV9M,Asiatic Russia
RV9P,Asiatic Russia
RV9S,Asiatic Russia
RV9T,Asiatic Russia
RV9V,Asiatic Russia
RV9W,Asiatic Russia
RV9X,European Russia
RW0T,Asiatic Russia
RW1N,European Russia
RW1O,European Russia
RW1P,European Russia
RW1Z,European Russia
RW2F,Kaliningrad
RW2K,Kaliningrad
RW4H,European Russia
RW4I,European Russia
RW4W,European Russia
RW8F,European Russia
RW8G,European Russia
RW8H,Asiatic Russia
RW8I,Asiatic Russia
RW8O,Asiatic Russia
RW8P,Asiatic Russia
RW8S,Asiatic Russia
RW8T,Asiatic Russia
RW8U,Asiatic Russia
RW8V,Asiatic Russia
RW8W,Asiatic Russia
RW8X,European Russia
RW8Y,Asiatic Russia
RW8Z,Asiatic Russia
RW9F,European Russia
RW9G,European Russia
RW9I,Asiatic Russia
RW9M,Asiatic Russia
RW9P,Asiatic Russia
RW9S,Asiatic Russia
RW9T,Asiatic Russia
RW9V,Asiatic Russia
RW9W,Asiatic Russia
RW9X,European Russia
RX0T,Asiatic Russia
RX1N,European Russia
RX1O,European Russia
RX1P,European Russia
RX1Z,European Russia
RX2F,Kaliningrad
RX2K,Kaliningrad
RX4H,European Russia
RX4I,European Russia
RX4W,European Russia
RX8F,European Russia
RX8G,European Russia
RX8H,Asiatic Russia
RX8I,Asiatic Russia
RX8O,Asiatic Russia
RX8P,Asiatic Russia
RX8S,Asiatic Russia
RX8T,Asiatic Russia
RX8U,Asiatic Russia
RX8V,Asiatic Russia
RX8W,Asiatic Russia
RX8X,European Russia
RX8Y,Asiatic Russia
RX8Z,Asiatic Russia
RX9F,European Russia
RX9G,European Russia
RX9I,Asiatic Russia
RX9M,Asiatic Russia
RX9P,Asiatic Russia
RX9S,Asiatic Russia
RX9T,Asiatic Russia
RX9V,Asiatic Russia
RX9W,Asiatic Russia
RX9X,European Russia
RY0T,Asiatic Russia
RY1N,European Russia
RY1O,European Russia
RY1P,European Russia
RY1Z,European Russia
RY2F,Kaliningrad
RY2K,Kaliningrad
RY4H,European Russia
RY4I,European Russia
RY4W,European Russia
RY8F,European Russia
RY8G,European Russia
RY8H,Asiatic Russia
RY8I,Asiatic Russia
RY8O,Asiatic Russia
RY8P,Asiatic Russia
RY8S,Asiatic Russia
RY8T,Asiatic Russia
RY8U,Asiatic Russia
RY8V,Asiatic Russia
RY8W,Asiatic Russia
RY8X,European Russia
RY8Y,Asiatic Russia
RY8Z,Asiatic Russia
RY9F,European Russia
RY9G,European Russia
RY9I,Asiatic Russia
RY9M,Asiatic Russia
RY9P,Asiatic Russia
RY9S,Asiatic Russia
RY9T,Asiatic Russia
RY9V,Asiatic Russia
RY9W,Asiatic Russia
RY9X,European Russia
RZ0T,Asiatic Russia
RZ1N,European Russia
RZ1O,European Russia
RZ1P,European Russia
RZ1Z,European Russia
RZ2F,Kaliningrad
RZ2K,Kaliningrad
RZ4H,European Russia
RZ4I,European Russia
RZ4W,European Russia
RZ8F,European Russia
RZ8G,European Russia
RZ8H,Asiatic Russia
RZ8I,Asiatic Russia
RZ8O,Asiatic Russia
RZ8P,Asiatic Russia
RZ8S,Asiatic Russia
RZ8T,Asiatic Russia
RZ8U,Asiatic Russia
RZ8V,Asiatic Russia
RZ8W,Asiatic Russia
RZ8X,European Russia
RZ8Y,Asiatic Russia
RZ8Z,Asiatic Russia
RZ9F,European Russia
RZ9G,European Russia
RZ9I,Asiatic Russia
RZ9M,Asiatic Russia
RZ9P,Asiatic Russia
RZ9S,Asiatic Russia
RZ9T,Asiatic Russia
RZ9V,Asiatic Russia
RZ9W,Asiatic Russia
RZ9X,European Russia
R0T,Asiatic Russia
R1N,European Russia
R1O,European Russia
R1P,European Russia
R1Z,European Russia
R2F,Kaliningrad
R2K,Kaliningrad
R4H,European Russia
R4I,European Russia
R4W,European Russia
R8F,European Russia
R8G,European Russia
R8H,Asiatic Russia
R8I,Asiatic Russia
R8O,Asiatic Russia
R8P,Asiatic Russia
R8S,Asiatic Russia
R8T,Asiatic Russia
R8U,Asiatic Russia
R8V,Asiatic Russia
R8W,Asiatic Russia
R8X,European Russia
R8Y,Asiatic Russia
R8Z,Asiatic Russia
R9F,European Russia
R9G,European Russia
R9I,Asiatic Russia
R9M,Asiatic Russia
R9P,Asiatic Russia
R9S,Asiatic Russia
R9T,Asiatic Russia
R9V,Asiatic Russia
R9W,Asiatic Russia
R9X,European Russia
RA0,Asiatic Russia
RA2,Kaliningrad
RA8,Asiatic Russia
RA9,Asiatic Russia
RC0,Asiatic Russia
RC8,Asiatic Russia
RC9,Asiatic Russia
RD0,Asiatic Russia
RD8,Asiatic Russia
RD9,Asiatic Russia
RE0,Asiatic Russia
RE8,Asiatic Russia
RE9,Asiatic Russia
RF0,Asiatic Russia
RF8,Asiatic Russia
RF9,Asiatic Russia
RG0,Asiatic Russia
RG8,Asiatic Russia
RG9,Asiatic Russia
RI0,Asiatic Russia
RI8,Asiatic Russia
RI9,Asiatic Russia
RJ0,Asiatic Russia
RJ8,Asiatic Russia
RJ9,Asiatic Russia
RK0,Asiatic Russia
RK8,Asiatic Russia
RK9,Asiatic Russia
RL0,Asiatic Russia
RL8,Asiatic Russia
RL9,Asiatic Russia
RM0,Asiatic Russia
RM8,Asiatic Russia
RM9,Asiatic Russia
RN0,Asiatic Russia
RN8,Asiatic Russia
RN9,Asiatic Russia
RO0,Asiatic Russia
RO8,Asiatic Russia
RO9,Asiatic Russia
RQ0,Asiatic Russia
RQ8,Asiatic Russia
RQ9,Asiatic Russia
RT0,Asiatic Russia
RT8,Asiatic Russia
RT9,Asiatic Russia
RU0,Asiatic Russia
RU8,Asiatic Russia
RU9,Asiatic Russia
RV0,Asiatic Russia
RV8,Asiatic Russia
RV9,Asiatic Russia
RW0,Asiatic Russia
RW8,Asiatic Russia
RW9,Asiatic Russia
RX0,Asiatic Russia
RX8,Asiatic Russia
RX9,Asiatic Russia
RY0,Asiatic Russia
RY8,Asiatic Russia
RY9,Asiatic Russia
RZ0,Asiatic Russia
RZ8,Asiatic Russia
RZ9,Asiatic Russia
R0,Asiatic Russia
R8,Asiatic Russia
R9,Asiatic Russia
R,European Russia
SV5,Dodecanese
SV9,Crete
SW5,Dodecanese
SW9,Crete
SX5,Dodecanese
SX9,Crete
SY5,Dodecanese
SY9,Crete
SZ5,Dodecanese
SZ9,Crete
S0,Western Sahara
S2,Bangladesh
S3,Bangladesh
S4,South Africa
S5,Slovenia
S6,Singapore
S7,Seychelles
S8,South Africa
S9,Sao Tome & Principe
SA,Sweden
SB,Sweden
SC,Sweden
SD,Sweden
SE,Sweden
SF,Sweden
SG,Sweden
SH,Sweden
SI,Sweden
SJ,Sweden
SK,Sweden
SL,Sweden
SM,Sweden
SN,Poland
SO,Poland
SP,Poland
SQ,Poland
SR,Poland
SS,Egypt
ST,Sudan
SU,Egypt
SV,Greece
SW,Greece
SX,Greece
SY,Greece
SZ,Greece
T30,Western Kiribati
T31,Central Kiribati
T32,Eastern Kiribati
T33,Banaba Island
TA1,European Turkey
TB1,European Turkey
TC1,European Turkey
TE9,Cocos Island
TI9,Cocos Island
T2,Tuvalu
T4,Cuba
T5,Somalia
T6,Afghanistan
T7,San Marino
T8,Palau
TA,Asiatic Turkey
TB,Asiatic Turkey
TC,Asiatic Turkey
TD,Guatemala
TE,Costa Rica
TF,Iceland
TG,Guatemala
TH,France
TI,Costa Rica
TJ,Cameroon
TK,Corsica
TL,Central African Republic
TM,France
TN,Republic of the Congo
TP,France
TQ,France
TR,Gabon
TS,Tunisia
TT,Chad
TU,Cote d'Ivoire
TV,France
TW,Wallis & Futuna Islands
TY,Benin
TZ,Mali
UA0T,Asiatic Russia
UA1N,European Russia
UA1O,European Russia
UA1P,European Russia
UA1Z,European Russia
UA4H,European Russia
UA4I,European Russia
UA4W,European Russia
UA8F,European Russia
UA8G,European Russia
UA8H,Asiatic Russia
UA8I,Asiatic Russia
UA8O,Asiatic Russia
UA8P,Asiatic Russia
UA8S,Asiatic Russia
UA8T,Asiatic Russia
UA8U,Asiatic Russia
UA8V,Asiatic Russia
UA8W,Asiatic Russia
UA8X,European Russia
UA8Y,Asiatic Russia
UA8Z,Asiatic Russia
UA9F,European Russia
UA9G,European Russia
UA9I,Asiatic Russia
UA9M,Asiatic Russia
UA9P,Asiatic Russia
UA9S,Asiatic Russia
UA9T,Asiatic Russia
UA9V,Asiatic Russia
UA9W,Asiatic Russia
UA9X,European Russia
UB0T,Asiatic Russia
UB1N,European Russia
UB1O,European Russia
UB1P,European Russia
UB1Z,European Russia
UB4H,European Russia
UB4I,European Russia
UB4W,European Russia
UB8F,European Russia
UB8G,European Russia
UB8H,Asiatic Russia
UB8I,Asiatic Russia
UB8O,Asiatic Russia
UB8P,Asiatic Russia
UB8S,Asiatic Russia
UB8T,Asiatic Russia
UB8U,Asiatic Russia
UB8V,Asiatic Russia
UB8W,Asiatic Russia
UB8X,European Russia
UB8Y,Asiatic Russia
UB8Z,Asiatic Russia
UB9F,European Russia
UB9G,European Russia
UB9I,Asiatic Russia
UB9M,Asiatic Russia
UB9P,Asiatic Russia
UB9S,Asiatic Russia
UB9T,Asiatic Russia
UB9V,Asiatic Russia
UB9W,Asiatic Russia
UB9X,European Russia
UC0T,Asiatic Russia
UC1N,European Russia
UC1O,European Russia
UC1P,European Russia
UC1Z,European Russia
UC4H,European Russia
UC4I,European Russia
UC4W,European Russia
UC8F,European Russia
UC8G,European Russia
UC8H,Asiatic Russia
UC8I,Asiatic Russia
UC8O,Asiatic Russia
UC8P,Asiatic Russia
UC8S,Asiatic Russia
UC8T,Asiatic Russia
UC8U,Asiatic Russia
UC8V,Asiatic Russia
UC8W,Asiatic Russia
UC8X,European Russia
UC8Y,Asiatic Russia
UC8Z,Asiatic Russia
UC9F,European Russia
UC9G,European Russia
UC9I,Asiatic Russia
UC9M,Asiatic Russia
UC9P,Asiatic Russia
UC9S,Asiatic Russia
UC9T,Asiatic Russia
UC9V,Asiatic Russia
UC9W,Asiatic Russia
UC9X,European Russia
UD0T,Asiatic Russia
UD1N,European Russia
UD1O,European Russia
UD1P,European Russia
UD1Z,European Russia
UD4H,European Russia
UD4I,European Russia
UD4W,European Russia
UD8F,European Russia
UD8G,European Russia
UD8H,Asiatic Russia
UD8I,Asiatic Russia
UD8O,Asiatic Russia
UD8P,Asiatic Russia
UD8S,Asiatic Russia
UD8T,Asiatic Russia
UD8U,Asiatic Russia
UD8V,Asiatic Russia
UD8W,Asiatic Russia
UD8X,European Russia
UD8Y,Asiatic Russia
UD8Z,Asiatic Russia
UD9F,European Russia
UD9G,European Russia
UD9I,Asiatic Russia
UD9M,Asiatic Russia
UD9P,Asiatic Russia
UD9S,Asiatic Russia
UD9T,Asiatic Russia
UD9V,Asiatic Russia
UD9W,Asiatic Russia
UD9X,European Russia
UE0T,Asiatic Russia
UE1N,European Russia
UE1O,European Russia
UE1P,European Russia
UE1Z,European Russia
UE4H,European Russia
UE4I,European Russia
UE4W,European Russia
UE8F,European Russia
UE8G,European Russia
UE8H,Asiatic Russia
UE8I,Asiatic Russia
UE8O,Asiatic Russia
UE8P,Asiatic Russia
UE8S,Asiatic Russia
UE8T,Asiatic Russia
UE8U,Asiatic Russia
UE8V,Asiatic Russia
UE8W,Asiatic Russia
UE8X,European Russia
UE8Y,Asiatic Russia
UE8Z,Asiatic Russia
UE9F,European Russia
UE9G,European Russia
UE9I,Asiatic Russia
UE9M,Asiatic Russia
UE9P,Asiatic Russia
UE9S,Asiatic Russia
UE9T,Asiatic Russia
UE9V,Asiatic Russia
UE9W,Asiatic Russia
UE9X,European Russia
UF0T,Asiatic Russia
UF1N,European Russia
UF1O,European Russia
UF1P,European Russia
UF1Z,European Russia
UF4H,European Russia
UF4I,European Russia
UF4W,European Russia
UF8F,European Russia
UF8G,European Russia
UF8H,Asiatic Russia
UF8I,Asiatic Russia
UF8O,Asiatic Russia
UF8P,Asiatic Russia
UF8S,Asiatic Russia
UF8T,Asiatic Russia
UF8U,Asiatic Russia
UF8V,Asiatic Russia
UF8W,Asiatic Russia
UF8X,European Russia
UF8Y,Asiatic Russia
UF8Z,Asiatic Russia
UF9F,European Russia
UF9G,European Russia
UF9I,Asiatic Russia
UF9M,Asiatic Russia
UF9P,Asiatic Russia
UF9S,Asiatic Russia
UF9T,Asiatic Russia
UF9V,Asiatic Russia
UF9W,Asiatic Russia
UF9X,European Russia
UG0T,Asiatic Russia
UG1N,European Russia
UG1O,European Russia
UG1P,European Russia
UG1Z,European Russia
UG4H,European Russia
UG4I,European Russia
UG4W,European Russia
UG8F,European Russia
UG8G,European Russia
UG8H,Asiatic Russia
UG8I,Asiatic Russia
UG8O,Asiatic Russia
UG8P,Asiatic Russia
UG8S,Asiatic Russia
UG8T,Asiatic Russia
UG8U,Asiatic Russia
UG8V,Asiatic Russia
UG8W,Asiatic Russia
UG8X,European Russia
UG8Y,Asiatic Russia
UG8Z,Asiatic Russia
UG9F,European Russia
UG9G,European Russia
UG9I,Asiatic Russia
UG9M,Asiatic Russia
UG9P,Asiatic Russia
UG9S,Asiatic Russia
UG9T,Asiatic Russia
UG9V,Asiatic Russia
UG9W,Asiatic Russia
UG9X,European Russia
UH0T,Asiatic Russia
UH1N,European Russia
UH1O,European Russia
UH1P,European Russia
UH1Z,European Russia
UH4H,European Russia
UH4I,European Russia
UH4W,European Russia
UH8F,European Russia
UH8G,European Russia
UH8H,Asiatic Russia
UH8I,Asiatic Russia
UH8O,Asiatic Russia
UH8P,Asiatic Russia
UH8S,Asiatic Russia
UH8T,Asiatic Russia
UH8U,Asiatic Russia
UH8V,Asiatic Russia
UH8W,Asiatic Russia
UH8X,European Russia
UH8Y,Asiatic Russia
UH8Z,Asiatic Russia
UH9F,European Russia
UH9G,European Russia
UH9I,Asiatic Russia
UH9M,Asiatic Russia
UH9P,Asiatic Russia
UH9S,Asiatic Russia
UH9T,Asiatic Russia
UH9V,Asiatic Russia
UH9W,Asiatic Russia
UH9X,European Russia
UI0T,Asiatic Russia
UI1N,European Russia
UI1O,European Russia
UI1P,European Russia
UI1Z,European Russia
UI4H,European Russia
UI4I,European Russia
UI4W,European Russia
UI8F,European Russia
UI8G,European Russia
UI8H,Asiatic Russia
UI8I,Asiatic Russia
UI8O,Asiatic Russia
UI8P,Asiatic Russia
UI8S,Asiatic Russia
UI8T,Asiatic Russia
UI8U,Asiatic Russia
UI8V,Asiatic Russia
UI8W,Asiatic Russia
UI8X,European Russia
UI8Y,Asiatic Russia
UI8Z,Asiatic Russia
UI9F,European Russia
UI9G,European Russia
UI9I,Asiatic Russia
UI9M,Asiatic Russia
UI9P,Asiatic Russia
UI9S,Asiatic Russia
UI9T,Asiatic Russia
UI9V,Asiatic Russia
UI9W,Asiatic Russia
UI9X,European Russia
UN0F,Kazakhstan
UN0G,Kazakhstan
UN0J,Kazakhstan
UN0Q,Kazakhstan
UN1F,Kazakhstan
UN1G,Kazakhstan
UN1J,Kazakhstan
UN1Q,Kazakhstan
UN2F,Kazakhstan
UN2G,Kazakhstan
UN2J,Kazakhstan
UN2Q,Kazakhstan
UN3F,Kazakhstan
UN3G,Kazakhstan
UN3J,Kazakhstan
UN3Q,Kazakhstan
UN4F,Kazakhstan
UN4G,Kazakhstan
UN4J,Kazakhstan
UN4Q,Kazakhstan
UN5F,Kazakhstan
UN5G,Kazakhstan
UN5J,Kazakhstan
UN5Q,Kazakhstan
UN6F,Kazakhstan
UN6G,Kazakhstan
UN6J,Kazakhstan
UN6Q,Kazakhstan
UN7F,Kazakhstan
UN7G,Kazakhstan
UN7J,Kazakhstan
UN7Q,Kazakhstan
UN8F,Kazakhstan
UN8G,Kazakhstan
UN8J,Kazakhstan
UN8Q,Kazakhstan
UN9F,Kazakhstan
UN9G,Kazakhstan
UN9J,Kazakhstan
UN9Q,Kazakhstan
UO0F,Kazakhstan
UO0G,Kazakhstan
UO0J,Kazakhstan
UO0Q,Kazakhstan
UO1F,Kazakhstan
UO1G,Kazakhstan
UO1J,Kazakhstan
UO1Q,Kazakhstan
UO2F,Kazakhstan
UO2G,Kazakhstan
UO2J,Kazakhstan
UO2Q,Kazakhstan
UO3F,Kazakhstan
UO3G,Kazakhstan
UO3J,Kazakhstan
UO3Q,Kazakhstan
UO4F,Kazakhstan
UO4G,Kazakhstan
UO4J,Kazakhstan
UO4Q,Kazakhstan
UO5F,Kazakhstan
UO5G,Kazakhstan
UO5J,Kazakhstan
UO5Q,Kazakhstan
UO6F,Kazakhstan
UO6G,Kazakhstan
UO6J,Kazakhstan
UO6Q,Kazakhstan
UO7F,Kazakhstan
UO7G,Kazakhstan
UO7J,Kazakhstan
UO7Q,Kazakhstan
UO8F,Kazakhstan
UO8G,Kazakhstan
UO8J,Kazakhstan
UO8Q,Kazakhstan
UO9F,Kazakhstan
UO9G,Kazakhstan
UO9J,Kazakhstan
UO9Q,Kazakhstan
UP0F,Kazakhstan
UP0G,Kazakhstan
UP0J,Kazakhstan
UP0Q,Kazakhstan
UP1F,Kazakhstan
UP1G,Kazakhstan
UP1J,Kazakhstan
UP1Q,Kazakhstan
UP2F,Kazakhstan
UP2G,Kazakhstan
UP2J,Kazakhstan
UP2Q,Kazakhstan
UP3F,Kazakhstan
UP3G,Kazakhstan
UP3J,Kazakhstan
UP3Q,Kazakhstan
UP4F,Kazakhstan
UP4G,Kazakhstan
UP4J,Kazakhstan
UP4Q,Kazakhstan
UP5F,Kazakhstan
UP5G,Kazakhstan
UP5J,Kazakhstan
UP5Q,Kazakhstan
UP6F,Kazakhstan
UP6G,Kazakhstan
UP6J,Kazakhstan
UP6Q,Kazakhstan
UP7F,Kazakhstan
UP7G,Kazakhstan
UP7J,Kazakhstan
UP7Q,Kazakhstan
UP8F,Kazakhstan
UP8G,Kazakhstan
UP8J,Kazakhstan
UP8Q,Kazakhstan
UP9F,Kazakhstan
UP9G,Kazakhstan
UP9J,Kazakhstan
UP9Q,Kazakhstan
UQ0F,Kazakhstan
UQ0G,Kazakhstan
UQ0J,Kazakhstan
UQ0Q,Kazakhstan
UQ1F,Kazakhstan
UQ1G,Kazakhstan
UQ1J,Kazakhstan
UQ1Q,Kazakhstan
UQ2F,Kazakhstan
UQ2G,Kazakhstan
UQ2J,Kazakhstan
UQ2Q,Kazakhstan
UQ3F,Kazakhstan
UQ3G,Kazakhstan
UQ3J,Kazakhstan
UQ3Q,Kazakhstan
UQ4F,Kazakhstan
UQ4G,Kazakhstan
UQ4J,Kazakhstan
UQ4Q,Kazakhstan
UQ5F,Kazakhstan
UQ5G,Kazakhstan
UQ5J,Kazakhstan
UQ5Q,Kazakhstan
UQ6F,Kazakhstan
UQ6G,Kazakhstan
UQ6J,Kazakhstan
UQ6Q,Kazakhstan
UQ7F,Kazakhstan
UQ7G,Kazakhstan
UQ7J,Kazakhstan
UQ7Q,Kazakhstan
UQ8F,Kazakhstan
UQ8G,Kazakhstan
UQ8J,Kazakhstan
UQ8Q,Kazakhstan
UQ9F,Kazakhstan
UQ9G,Kazakhstan
UQ9J,Kazakhstan
UQ9Q,Kazakhstan
U0T,Asiatic Russia
U1N,European Russia
U1O,European Russia
U1P,European Russia
U1Z,European Russia
U2F,Kaliningrad
U2K,Kaliningrad
U4H,European Russia
U4I,European Russia
U4W,European Russia
U8F,European Russia
U8G,European Russia
U8H,Asiatic Russia
U8I,Asiatic Russia
U8O,Asiatic Russia
U8P,Asiatic Russia
U8S,Asiatic Russia
U8T,Asiatic Russia
U8U,Asiatic Russia
U8V,Asiatic Russia
U8W,Asiatic Russia
U8X,European Russia
U8Y,Asiatic Russia
U8Z,Asiatic Russia
U9F,European Russia
